number,value,datetime_start,datetime_complete,duration,params_cat_preprocessing,params_gb_learning_rate,params_gb_max_depth,params_gb_n_estimators,params_hgb_learning_rate,params_hgb_max_depth,params_hgb_max_iter,params_lr_C,params_lr_penalty,params_lr_tol,params_mlp_alpha,params_mlp_hidden_layer_sizes,params_mlp_solver,params_model_type,params_num_preprocessing,params_rf_max_depth,params_rf_min_samples_split,params_rf_n_estimators,params_targetencoder_smooth,state
0,0.6226936026936027,2025-02-16 23:09:05.806247,2025-02-16 23:09:18.984380,0 days 00:00:13.178133,OrdinalEncoder,,,,,,,34.86459185513884,l1,1.7024677684517923e-05,,,,LogisticRegression,None,,,,,COMPLETE
1,0.7437037037037036,2025-02-16 23:09:18.985936,2025-02-16 23:09:37.846069,0 days 00:00:18.860133,OrdinalEncoder,,,,0.032075180866487175,16.0,237.0,,,,,,,HistGradientBoostingClassifier,StandardScaler,,,,,COMPLETE
2,0.7577272727272728,2025-02-16 23:09:37.847311,2025-02-16 23:09:50.319852,0 days 00:00:12.472541,OrdinalEncoder,,,,0.16452683979616778,20.0,137.0,,,,,,,HistGradientBoostingClassifier,None,,,,,COMPLETE
3,0.7861616161616162,2025-02-16 23:09:50.321394,2025-02-16 23:12:30.704994,0 days 00:02:40.383600,TargetEncoder,,,,,,,,,,1.9454126258371878e-05,"(50, 50)",adam,MLPClassifier,StandardScaler,,,,0.7308435880933705,COMPLETE
4,0.7443771043771044,2025-02-16 23:12:30.706020,2025-02-16 23:13:03.155785,0 days 00:00:32.449765,TargetEncoder,,,,,,,,,,,,,RandomForestClassifier,None,4.0,9.0,254.0,0.4674044055686256,COMPLETE
5,0.6231481481481482,2025-02-16 23:13:03.157530,2025-02-16 23:13:08.746994,0 days 00:00:05.589464,OrdinalEncoder,,,,,,,0.07908825235314465,l2,0.0002722231068235409,,,,LogisticRegression,StandardScaler,,,,,COMPLETE
6,0.8001010101010101,2025-02-16 23:13:08.747933,2025-02-16 23:14:02.633066,0 days 00:00:53.885133,TargetEncoder,,,,0.03439692206632585,18.0,271.0,,,,,,,HistGradientBoostingClassifier,None,,,,0.18154982099928332,COMPLETE
7,0.5847979797979799,2025-02-16 23:14:02.634059,2025-02-16 23:14:58.319653,0 days 00:00:55.685594,OrdinalEncoder,,,,,,,,,,0.002375736021956237,"(100,)",sgd,MLPClassifier,None,,,,,COMPLETE
8,0.6183670033670033,2025-02-16 23:14:58.321133,2025-02-16 23:15:18.838516,0 days 00:00:20.517383,OrdinalEncoder,,,,,,,0.0041861873090243565,l2,1.2773109036243116e-05,,,,LogisticRegression,None,,,,,COMPLETE
9,0.7488720538720539,2025-02-16 23:15:18.839895,2025-02-16 23:15:26.112865,0 days 00:00:07.272970,OrdinalEncoder,,,,0.0801731382050529,10.0,127.0,,,,,,,HistGradientBoostingClassifier,StandardScaler,,,,,COMPLETE
10,0.8071548821548822,2025-02-16 23:15:26.114398,2025-02-16 23:29:21.155225,0 days 00:13:55.040827,OneHotEncoder,0.08681633246110956,9.0,167.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
11,0.8067171717171717,2025-02-16 23:29:21.156157,2025-02-16 23:41:55.936423,0 days 00:12:34.780266,OneHotEncoder,0.08507779232184286,9.0,166.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
12,0.807154882154882,2025-02-16 23:41:55.937650,2025-02-16 23:54:13.665388,0 days 00:12:17.727738,OneHotEncoder,0.08056968460233166,9.0,166.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
13,0.8066329966329965,2025-02-16 23:54:13.666594,2025-02-17 00:05:33.885501,0 days 00:11:20.218907,OneHotEncoder,0.08399242938146319,9.0,159.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
14,0.8063299663299663,2025-02-17 00:05:33.886839,2025-02-17 00:25:14.142623,0 days 00:19:40.255784,OneHotEncoder,0.0244784646206162,10.0,275.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
15,0.7828451178451179,2025-02-17 00:25:14.144002,2025-02-17 00:27:37.342666,0 days 00:02:23.198664,OneHotEncoder,0.8499311483768968,4.0,68.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
16,0.8046296296296296,2025-02-17 00:27:37.344163,2025-02-17 00:38:35.790045,0 days 00:10:58.445882,OneHotEncoder,0.18510658977664976,7.0,191.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
17,0.8002188552188553,2025-02-17 00:38:35.790957,2025-02-17 00:38:51.112527,0 days 00:00:15.321570,OneHotEncoder,,,,,,,,,,,,,RandomForestClassifier,None,19.0,19.0,58.0,,COMPLETE
18,0.7823569023569024,2025-02-17 00:38:51.113908,2025-02-17 00:44:45.473279,0 days 00:05:54.359371,OneHotEncoder,0.033363603025447705,7.0,128.0,,,,,,,,,,GradientBoostingClassifier,StandardScaler,,,,,COMPLETE
19,0.7649494949494949,2025-02-17 00:44:45.474285,2025-02-17 00:48:35.103401,0 days 00:03:49.629116,OneHotEncoder,0.24060649131567133,2.0,234.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
20,0.7934343434343434,2025-02-17 00:48:35.104658,2025-02-17 00:53:30.332549,0 days 00:04:55.227891,OneHotEncoder,0.04805626106652454,8.0,105.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
21,0.8080639730639729,2025-02-17 00:53:30.333420,2025-02-17 01:04:44.705124,0 days 00:11:14.371704,OneHotEncoder,0.10948922690232309,10.0,184.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
22,0.8058922558922559,2025-02-17 01:04:44.706462,2025-02-17 01:22:13.559114,0 days 00:17:28.852652,OneHotEncoder,0.18512778068983543,10.0,204.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
23,0.7874915824915825,2025-02-17 01:22:13.560441,2025-02-17 01:35:04.372400,0 days 00:12:50.811959,OneHotEncoder,0.01370064551163777,10.0,143.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
24,0.8045454545454545,2025-02-17 01:35:04.373659,2025-02-17 01:47:02.550500,0 days 00:11:58.176841,OneHotEncoder,0.07745024249479958,8.0,220.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
25,0.7906902356902357,2025-02-17 01:47:02.551775,2025-02-17 01:47:21.927015,0 days 00:00:19.375240,OneHotEncoder,,,,,,,,,,,,,RandomForestClassifier,None,14.0,2.0,115.0,,COMPLETE
26,0.7936700336700337,2025-02-17 01:47:21.928272,2025-02-17 01:58:14.315142,0 days 00:10:52.386870,TargetEncoder,0.33177092917457807,5.0,184.0,,,,,,,,,,GradientBoostingClassifier,StandardScaler,,,,0.9922016234363293,COMPLETE
27,0.6956397306397306,2025-02-17 01:58:14.316083,2025-02-17 01:58:38.005436,0 days 00:00:23.689353,OneHotEncoder,,,,,,,,,,0.06048100033644356,"(50,)",adam,MLPClassifier,None,,,,,COMPLETE
28,0.807037037037037,2025-02-17 01:58:38.006703,2025-02-17 02:15:24.555805,0 days 00:16:46.549102,OneHotEncoder,0.13504084701573657,9.0,249.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
29,0.7295791245791245,2025-02-17 02:15:24.556712,2025-02-17 02:15:38.512412,0 days 00:00:13.955700,OneHotEncoder,,,,,,,761.3988383404499,l1,0.006040445237828805,,,,LogisticRegression,None,,,,,COMPLETE
30,0.8016161616161617,2025-02-17 02:15:38.513797,2025-02-17 02:26:26.548107,0 days 00:10:48.034310,TargetEncoder,0.05156802381593744,8.0,109.0,,,,,,,,,,GradientBoostingClassifier,None,,,,0.05177850769443376,COMPLETE
31,0.8069528619528619,2025-02-17 02:26:26.549107,2025-02-17 02:42:11.558880,0 days 00:15:45.009773,OneHotEncoder,0.13497371594230462,9.0,260.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
32,0.8068181818181819,2025-02-17 02:42:11.560686,2025-02-17 02:56:00.870341,0 days 00:13:49.309655,OneHotEncoder,0.12940300577049804,9.0,240.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
33,0.8084511784511784,2025-02-17 02:56:00.871564,2025-02-17 03:13:42.863185,0 days 00:17:41.991621,OneHotEncoder,0.05664331484352069,10.0,293.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
34,0.7773400673400672,2025-02-17 03:13:42.864437,2025-02-17 03:20:13.056516,0 days 00:06:30.192079,OneHotEncoder,,,,,,,,,,1.3519793801736342e-05,"(100,)",sgd,MLPClassifier,StandardScaler,,,,,COMPLETE
35,0.7262794612794613,2025-02-17 03:20:13.057929,2025-02-17 03:20:29.895776,0 days 00:00:16.837847,OneHotEncoder,,,,0.9105388741590799,2.0,60.0,,,,,,,HistGradientBoostingClassifier,None,,,,,COMPLETE
36,0.7026936026936027,2025-02-17 03:20:29.897209,2025-02-17 03:20:52.245347,0 days 00:00:22.348138,OneHotEncoder,,,,,,,,,,,,,RandomForestClassifier,None,4.0,19.0,291.0,,COMPLETE
37,0.7636195286195286,2025-02-17 03:20:52.246577,2025-02-17 03:21:03.333997,0 days 00:00:11.087420,TargetEncoder,,,,,,,1.8458024327563125,l1,0.0097963539247141,,,,LogisticRegression,StandardScaler,,,,0.3944728385029389,COMPLETE
